Symbol,Name,"Insider Name",Title,Transaction,Shares,@Price,"Trans Total","Shares After",Date
GOLD,"Gold.com Inc","Gregory N Roberts",CEO,"Sale Post-exercise",40000,48.4263,1937052,1927958,2026-09-09
PAYS,"Paysign Inc","Michael Ngo","Chf Innovations",Sell,150000,12.7911,1918666,2811336,2026-09-09
TRDA,"Entrada Therapeutics Inc","American Shareholder",N/A,Sell,259837,7.3345,1905775,3885115,2026-09-09
TK,"Teekay Corporation Ltd","Kenneth Hvid",CEO,"Sale Post-exercise",132884,14.2801,1897597,105500,2026-09-11
PINS,"Pinterest Inc","Benjamin Silbermann",Chair,"Transfer In",93750,0,1888125,13996,2026-09-09
RGTI,"Rigetti Computing Inc","Dr. Subodh K Kulkarni",CEO,"Sale Post-exercise",120000,15.6842,1882104,140411,2026-09-09
PINS,"Pinterest Inc","Benjamin Silbermann",Chair,Sell,93750,20.0539,1880054,13996,2026-09-09
VG,"Venture Global Inc Cl A","Keith D Larson","Gen Cou",Exercise,2350000,0.79,1856500,0,2026-09-09
CADL,"Candel Therapeutics Inc","Paul Peter Tak",CEO,Sell,155245,11.1007,1723328,113321,2026-09-11
AFL,"Aflac Inc","American Shareholder",N/A,Sell,13600,114.82,1561551,50625490,2026-09-09
ECAT,"Blackrock ESG Capital Allocation Trust","American Shareholder",N/A,Sell,102824,15.15,1557784,12917917,2026-09-09
ALHC,"Alignment Healthcare Inc","Dawn Christine Maroney",Pres.,"Sale Post-exercise*",122707,12.68,1555924,794606,2026-09-11
DORM,"Dorman Products Inc","Kevin M Olsen",CEO,"Sale Post-exercise*",11923,126.6,1509452,103770,2026-09-09
CHYM,"Chime Financial Inc Cl A","Ryan A King",N/A,Sell,42421,35.1476,1490997,116667,2026-09-09
AMAL,"Amalgamated Financial Corp","Sam D Brown",CBO,Sell,30735,48.4003,1487583,25874,2026-09-09
LUNR,"Intuitive Machines Inc","Kamal Seyed Ghaffarian",Chair,"Sale Post-exercise",96304,15.4078,1483833,3648294,2026-09-09
XYZ,"Block Inc","Anthony Mathew Eisen",N/A,Sell,18000,79.9467,1439041,1416672,2026-09-10
LUNR,"Intuitive Machines Inc","Kamal Seyed Ghaffarian",Chair,Exercise,96304,0,1438781,3648294,2026-09-09
CADL,"Candel Therapeutics Inc","Paul Peter Tak",CEO,"Sale Post-exercise",125000,11.4997,1437463,268566,2026-09-10
LITE,"Lumentum Holdings","Dr Wupen Yuen","Div. Pres.","Sale Post-exercise",1500,945.3233,1417985,114627,2026-09-10
PTCT,"Ptc Therapeutics","Michael Schmertzler",Chair,Sell,20000,67.5902,1351805,1316594,2026-09-10
TVTX,"Travere Therapeutics Inc","Jeffrey A Meckler",N/A,"Sale Post-exercise",20000,67.3053,1346105,91500,2026-09-10
CSL,"Carlisle Companies Inc","Jesse G Singh",N/A,Exercise,4070,0,1342042,8247,2026-09-10
ADP,"Automatic Data Processing","Vishwas Sugla",CSO,Award,4900,0,1299578,4900,2026-09-09
UPST,"Upstart Holdings Inc","Paul Gu",CEO,Buy,50000,25.55,1277500,1347546,2026-09-10
GILD,"Gilead Sciences Inc","Daniel O'day","Chair & CEO",Exercise,8780,0,1271432,581683,2026-09-10
